SubPartidas Arancelarias,Descripción del producto
611110,"prendas y complementos de vestir, de punto, para bebes, de lana o de"
611120,"prendas y complementos de vestir, de punto de algodon, para bebes"
611130,"prendas y complementos de vestir, de punto, para bebes, de fibras sint"
611190,"prendas y complementos de vestir, de las demas materias textiles."
611211,"prendas de deporte (entrenamiento), de punto de algodon"
611212,"prendas de deportes (entrenamiento), de punto de fibras sinteticas"
611219,"prendas de deporte, de punto, de las demas materias textiles."
611220,"monos (overoles) y conjuntos de esqui, de punto"
611231,"trajes y pantalones de baño, de punto de fibras sintéticas, para hombr"
611239,"trajes y pantalon bano,para hombres o niños de las demas materias text"
611241,"trajes de baño (una o dos piezas), de punto de fibras sintéticas, para"
611249,"trajes de bano (una o dos piezas), de punto de las demas materias text"
611300,"prendas confeccionadas con tejidos de punto, de las partidas 59.03, 59"
611410,"las demas prendas de vestir, de punto, de lana o de pelo fino."
611420,"las demas prendas de vestir, de punto, de algodon."
611430,"las demas prendas de vestir, de punto, de fibras sinteticas o artifici"
611490,"las demas prendas de vestir, de punto, de las demas materias textiles."
611510,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, inclu"
611511,"calzas (panty-medias), de punto de fibras sinteticas, con titulo de hi"
611512,"calzas (panty-medias), de punto de fibras sinteticas, con titulo de hi"
611519,"calzas (panty-medias), de punto de las demas materias textiles."
611520,medias de punto de mujer con titulo de hilado a un cabo inferior a 67
611521,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, inclu"
611522,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, inclu"
611529,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, inclu"
611530,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, inclu"
611591,los demas calcetines de lana o de pelo fino.
611592,los demas calcetines de punto de algodon.
611593,los demas calcetines de fibras sinteticas.
611594,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, inclu"
611595,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, inclu"
611596,"Calzas, panty-medias, leotardos, medias, calcetines y demás artículos de calcetería, inclu"
611599,los demas calcetines de las demas materias textiles.
611610,"guantes de punto, impregnados, recubiertos o revestidos, con plastico"
611691,"los demas guantes de punto, de lana o de pelo fino."
611692,"los demas guantes de punto, de algodon."
611693,"los demas guantes de punto, de fibras sinteticas"
611699,"los demas guantes de punto, de las demas materias textiles."
611710,"chales, pañuelos para el cuello, pasamontañas, bufandas, mantillas, ve"
611720,"corbatas y lazos similares, de punto."
611780,los demas complementos de vestir .
611790,partes
620111,"abrigos, impermeables, chaquetones, capas y articulos similares de lan"
620112,"abrigos, impermeables, chaquetones, capas y articulos similares de alg"
620113,"abrigos, impermeables, chaquetones, capas, de fibras sinteticas o arti"
620119,"abrigos, impermeables, chaquetones, capas y articulos similares de las"
620191,"los demas anoraks, cazadoras y articulos similares para hombres o niño"
620192,"los demas anoraks, cazadoras y articulos similares,para hombres o niño"
620193,"los demas anoraks, cazadoras y articulos similares para hombres o niño"
620199,"los demas anoraks, cazadoras y articulos similares para hombres o niño"
620211,"abrigos, impermeables, chaquetones, capas y articulos similares de lan"
620212,"abrigos, impermeables, chaquetones, capas,y articulos similares de alg"
620213,"abrigos, impermeables, chaquetones, capas y articulos similares,de fib"
620219,"abrigos, impermeables, chaquetones, capas y articulos similares de las"
620291,"los demas anoraks, cazadoras y articulos similares para mujeres o niña"
620292,"los demas anoraks, cazadoras y articulos similares para mujeres o niña"
620293,"los demas anoraks, cazadoras y articulos similares para mujeres o niña"
620299,"los demas anoraks, cazadoras y articulos similares para mujeres o niña"
620311,"trajes o ternos de lana o de pelo fino, para hombres o niños"
620312,"trajes o ternos de fibras sinteticas, para hombres o niños"
620319,"trajes o ternos de las demas materias textiles, para hombres o niños."
620321,"conjuntos, para hombres o ninos, de lana o de pelo fino."
620322,"conjuntos, para hombres o ninos, de algodon."
620323,"conjuntos, para hombres o ninos, de fibras sinteticas."
620329,"conjuntos, para hombres o ninos, de las demas materias textiles."
620331,"chaquetas (sacos) de lana o de pelo fino, para hombres o niños."
620332,"chaquetas (sacos) de algodon, para hombres o niños"
620333,"chaquetas (sacos) de fibras sinteticas, para hombres o niños"
620339,"chaquetas (sacos) de las demas materias textiles, para hombres o niños"
620341,"pantalones, pantalones con peto y pantalones cortos, de lana o de pelo"
620342,"pantalones, pantalones con peto y pantalones cortos de algodon."
620343,"pantalones,pantalones con peto y pantalones cortos de fibras sintetic"
620349,"pantalones,pantalones con peto y pantalones cortos, para hombres o niñ"
620411,"trajes-sastre de lana o de pelo fino, para mujeres o niñas"
620412,"trajes-sastre, para mujeres o ninas, de algodon."
620413,"trajes-sastre de fibras sinteticas, para mujeres o niñas"
620419,"trajes-sastre,de las demas materias textiles,para mujeres o niñas."
620421,"conjuntos de lana o de pelo fino, para mujeres o niñas"
620422,"conjuntos de algodon, para mujeres o niñas"
620423,"conjuntos de fibras sinteticas, para mujeres o niñas"
620429,"conjuntos, para mujeres o ninas, de las demas materias textiles."
620431,"chaquetas (sacos) de lana o de pelo fino, para mujeres o niñas"
620432,"chaquetas (sacos), para mujeres o ninas, de algodon."
620433,"chaquetas (sacos) de fibras sinteticas, para mujeres o niñas"
620439,"chaquetas (sacos), para mujeres o niñas de las demas materias textiles"
620441,"vestidos, para mujeres o ninas, de lana o de pelo fino."
620442,"vestidos de algodon, para mujeres o niñas"
620443,vestidos de fibras sinteticas para mujeres o niñas
620444,"vestidos de fibras artificiales, para mujeres o niñas"
620449,"vestidos de las demas materias textiles, para mujeres o niñas"
620451,faldas y faldas-pantalon de lana o de pelo fino de mujeres o niñas
620452,faldas y faldas pantalon de algodon para mujeres o niñas
620453,"faldas y faldas-pantalon de fibras sinteticas, para mujeres o niñas"
620459,"faldas y faldas-pantalon, para mujeres o niñas de las demas materias t"
620461,"pantalones, pantalones con peto y pantalones cortos de lana o de pelo"
620462,"pantalones, pantalones con peto y pantalones cortos de algodon para mu"
620463,"pantalones, pantalones con peto y pantalones cortos de fibras sintetic"
620469,"pantalones, pantalones con peto y pantalones cortos de las demas mater"
620510,"camisas para hombres o ninos, de lana o de pelo fino."
620520,"camisas de algodon, para hombres o niños"
620530,"camisas de fibras sinteticas o artificiales, para hombres o niños"
620590,"camisas para hombres o ninos, de las demas materias textiles."
620610,"camisas, blusas y blusas camiseras de seda o de desperdicios de seda p"
620620,"camisas, blusas y blusas camiseras, para mujeres o niñas,de lana o de"
620630,"camisas, blusas y blusas camiseras, para mujeres o niñas,de algodon"
620640,"camisas, blusas y blusas camiseras de fibras sinteticas o artificiales"
620690,"camisas, blusas y blusas camiseras, de las demas materias textiles, pa"
620711,"calzoncillos, para hombres o ninos, de algodon."
620719,"calzoncillos, para hombres o ninos,de las demas materias textiles"
620721,"camisones y pijamas de algodon, para hombres o niños"
620722,"camisones y pijamas de fibras sinteticas o artificiales, para hombres"
620729,"camisones y pijamas, para hombres o ninos, de las demas materias texti"
620791,"los demas camisetas, albornoces, batas y similares de algodon, para ho"
620792,"los demas camisetas, albornoces, batas y similares para hombres o niño"
620799,"los demas camisetas, albornoces, batas y similares para hombres o niño"
620811,"combinaciones y enaguas, para mujeres o ninas, de fibras sinteticas o"
620819,"combinaciones y enaguas, para mujeres o niñas, de algodon"
620821,"camisones y pijamas de algodon, para mujeres o niñas"
620822,"camisones y pijamas de fibras sinteticas o artificiales, para mujeres"
620829,"camisones y pijamas, para mujeres o ninas, de las demas materias texti"
620891,"los demas,camisetas, bragas, saltos de cama, albornoces, batas y simil"
620892,"los demas,camisetas, bragas, saltos de cama, albornoces, batas y simil"
620899,"los demas,camisetas, bragas, saltos de cama, albornoces batas y simila"
620910,"prendas y complementos de vestir, para bebes, de lana o de pelo fino."
620920,"prendas y complementos de vestir, para bebes, de algodon"
620930,"prendas y complementos de vestir, para bebes, de fibras sinteticas."
620990,"prendas y complementos de vestir, para bebes, de las demas matrias tex"
621010,prendas de vestir confeccionadas con productos de las partidas 56.02 o
621020,las demas prendas de vestir del tipo de las citadas en las subpartidas
621030,las demas prendas de vestir del tipo de las citadas en las subpartidas
621040,las demas prendas de vestir para hombres o niños
621050,las demas prendas de vestir para mujeres o ninas.
621111,"trajes y pantalones de bano, para hombres o ninos."
621112,"trajes y pantalones de bano, para mujeres o ninas."
621120,"monos, overoles y conjuntos de esqui."
621131,"las demas prendas de vestir para hombres o ninos, de lana o de pelo fi"
621132,"las demas prendas de vestir de algodon, para hombres o niños"
621133,"las demas prendas de vestir, de fibras sinteticas o artificiales, para"
621139,"las demas prendas de vestir, para hombres o ninos, de las demas materi"
621141,"las demas prendas de vestir, para mujeres o ninas, de lana o de pelo f"
621142,"las demas prendas de vestir, de algodon, para mujeres o niñas"
621143,"las demas prendas de vestir, para mujeres o ninas, de fibras sintetica"
621149,"las demas prendas de vestir, para mujeres o ninas, de las demas materi"
621210,sostenes
621220,"fajas y fajas-braga, incluso de punto"
621230,"fajas-sosten, incluso de punto, y sus partes."
621290,"corses, tirantes, ligas y articulos similares, y sus partes, incluso d"
621310,"panuelos de bolsillo, de seda o de desperdicios de seda."
621320,"pañuelos de bolsillo, de algodon"
621390,"panuelos de bolsillo, de las demas materias textiles."
621410,"chales, pañuelos de cuello, pasamontañas bufandas, velos y similares,"
621420,"chales, pañuelos de cuello, pasamontañas, bufandas, mantillas, velos y"
621430,"chales, panuelos de cuello, bufandas, mantillas velos y articulos simi"
621440,"chales, panuelos de cuello, bufandas, mantillas, velos y similares, de"
621490,"chales, panuelos de cuello, bufandas,mantillas, velos y similares, de"
621510,corbatas y lazos similares de seda o de desperdicios de seda
621520,corbatas y lazos similares de fibras sinteticas o artificiales
621590,"corbatas y lazos similares, de las demas materias textiles."
621600,guantes y similares
621710,complementos de vestir.
621790,"partes de prendas o de complementos de vestir, excepto los de pda. 62."
630110,mantas electricas.
630120,mantas de lana o de pelo fino (excepto las electricas).
630130,mantas de algodon. (excepto electricas)
630140,mantas de fibras sinteticas. (excepto las electricas).
630190,las demas mantas.
630210,"ropa de cama, de punto."
630221,"las demas ropas de cama, estampadas de algodon"
630222,"las demas ropas de cama, estampadas de fibras sinteticas o artificiale"
630229,"las demas ropas de cama, estampadas de las demas materias textiles"
630231,"las demas ropas de cama, de algodon"
630232,"las demas ropas de cama, de fibras sinteticas o artificiales"
630239,"las demas ropas de cama, de las demas materias textiles"
630240,"ropa de mesa, de punto."
630251,"las demas ropas de mesa, de algodon"
630252,ropa de mesa de lino
630253,"las demas ropas de mesa, de fibras sinteticas o artificiales."
630259,"las demas ropas de mesa, de las demas materias textiles."
630260,"ropa de tocador o de cocina, de tejido de toalla con bucles, de algodo"
630291,"las demas ropa de tocador o de cocina, de algodon."
630292,las demas ropa de tocador o de cocina de lino
630293,las demas ropa de tocador o de cocina de fibras sinteticas o artificia
630299,las demas ropas de tocador o de cocina de las demas materias textiles
630311,"visillos, cortinas, guardamalletas y doseles,de punto, de algodon."
630312,"visillos, cortinas, guardamelletas y doseles, de punto, de fibras sint"
630319,"visillos, cortinas, guardamalletas y doseles, de las demas materias te"
630391,"visillos, cortinas, guardamalletas y doseles, de algodon, excepto de p"
630392,"visillos, cortinas, guardamalletas y doseles, fibra sintetica, excepto"
630399,"visillos, cortinas, guardamalletas y doseles, demas materias textiles,"
630411,"colchas, de punto."
630419,las demas colchas
630491,"los demas articulos de moblaje, de punto."
630492,"los demas articulos de moblaje, de algodon excepto los de punto"
630493,"otros articulos de moblaje, de fibras sintéticas, excepto los de punto"
630499,"los demas articulos de moblaje, de las demas materias textiles, except"
630510,"sacos y talegas, para envasr, de yute u otras fibras textiles del libe"
630520,"sacos y talegas, para envasar, de algodon."
630532,continentes intermedios flexibles para productos a granel
630533,los demas sacos de tiras o formas similares de polietileno o polipropi
630539,"los demas sacos y talegas, para envasar, de materias textiles sintetic"
630590,"sacos y talegas, para envasar, de las demas materias textiles."
630611,"toldos de cualquier clase, de algodon."
630612,"toldos de cualquier clase, de fibras sinteticas"
630619,"toldos de cualquier clase, de las demas materias textiles."
630621,"tiendas, de algodon."
630622,"tiendas, de fibras sinteticas."
630629,"tiendas, de las demas materias textiles"
630630,"Toldos de cualquier clase; tiendas (carpas), velas para embarcaciones, deslizadores o vehí"
630631,"velas, de fibras sinteticas."
630639,"velas, de las demas materias textiles."
630640,"Toldos de cualquier clase; tiendas (carpas), velas para embarcaciones, deslizadores o vehí"
630641,"colchones neumaticos, de algodon."
630649,"colchones neumaticos, de las demas materias textiles."
630691,"los demas articulos de acampar, de algodon."
630699,"los demas articulos de acampar, de las demas materias textiles."
630710,"bayetas, franelas y articulos similares para limpieza."
630720,cinturones y chalecos salvavidas.
630790,"los demas, articulos cobfeccionados"
630800,"conjuntos o surtidos constituidos por piezas de tejido e hilados, incl"
630900,articulos de prenderia.
631010,"trapos, cordeles, cuerdas y cordajes, de materias textiles en desperdi"
631090,"los demas trapos, cordeles, cuerdas y cordajes, de materias textiles e"
640110,"calzado, con puntera de metal"
640191,los demas calzados que cubran la rodilla
640192,los demas calzados que cubran el tobillo sin cubrir la rodilla
640199,"los demas calzados impermeables, suela y parte superior de caucho o p"
640212,calzado de esqui y para la practica de snowboard ( tabla para nieve ).
640219,"los demas calzados,de deportes con suela y parte superior (corte) de c"
640220,calzado con la parte superior de tiras o bridas fijas a la suela por t
640230,los demas calzados con puntera de metal
640291,"los demas calzados, que cubran el tobillo"
640299,"los demas calzados con suela y parte superior de caucho o plastico, ex"
640312,calzado de esqui y calzado para la practica de snowboard
640319,"los demas calzados de deporte con suela de caucho, plastico y parte su"
640320,calzado con suela de cuero natural y parte superior de tiras de cuero
640330,"calzado con palmilla o plataforma madera, sin plantillas y sin puntera"
640340,los demas calzados con puntera de metal
640351,los demas calzados con suela de cuero natural que cubran el tobillo
640359,los demas calzados
640391,los demas calzados que cubran el tobillo
640399,"los demas calzados con suela de caucho, de plastico o de cuero natural"
640411,calzado con suela de caucho o de plastico: calzado de deporte; calzado
640419,los demas calzados con suela de caucho o plastico
640420,calzado con suela cuero natural o regenerado
640510,"los demas calzados con la parte superior (el corte) de cuero natural,"
640520,los demas calzados con la parte superior de materias textiles.
640590,los demas calzados.
640610,"cortes aparados y sus partes, con exclusion de los contrafuertes y pun"
640620,"suelas y tacones, de caucho o de plastico"
640691,"las demas partes de calzado, de madera"
640699,"los demas partes de calzado, de otras materias"
650100,"cascos sin forma ni acabado, platos (discos) y bandas (cilindros), aun"
650200,"cascos para sombreros, trenzados o fabricados por union de bandas de c"
650300,sombreros y demas tocados de fieltro fabricados con cascos o platos de
650400,"sombreros y demas tocados, trenzados o fabricados por union de bandas"
650510,redecillas y redes para el cabello
650590,"los demas sombreros y tocados, de punto, encaje, fieltro o de otros pr"
650610,cascos de seguridad
650691,"los demas sombreros y tocados, de caucho o de plastico."
650692,"los demas sombreros y tocados, de peleteria natural."
650699,"los demas sombreros y tocados, de las demas materias."
650700,"desudadores, forros, fundas, armaduras, viseras y barboquejos, para so"
660110,quitasoles-toldo y articulos similares.
660191,"los demas paraguas, sombrillas y quitasoles, con astil o mango telesco"
660199,"los demas paraguas, sombrillas y quitasoles"
660200,"bastones, bastones-asiento, latigos, fustas y articulos similares."
660310,"puños y pomos, para los articulos de partidas 66.01 o 66.02."
660320,"monturas ensambladas, incluso con el astil o mango, para paraguas, som"
660390,"las demas partes, guarniciones y accesorios de las partidas 6601/6602"
670100,"pieles y otras partes de aves con las plumas o el plumon; plumas, part"
670210,"flores, follajes y frutos artificiales, y sus partes de plastico"
670290,"flores, follajes y frutos, y articulos, de las demas materias."
670300,"cabello peinado, afinado, blanqueado o preparado de otra forma; lana,p"
670411,"pelucas completas, de materias textiles sinteticas."
670419,"barbas, cejas, pestanas y analogos, de materias textiles sinteticas."
670420,"pelucas, barbas, cejas, pestanas y analogos; manufacturas, de cabello."
670490,"pelucas, barbas, cejas, pestanas y analogos; manufacturas, de las dema"
680100,"adoquines, encintados y losas para pavimentos, de piedra natural (exce"
680210,"losetas, cubos, dados y articulos similares, de cualquier forma en los"
680221,"marmol, travertinos y alabastro."
680222,"las demas piedras calizas, de talla o de construccion."
680223,"granito, de talla o de construccion y sus manufac. talladas o aserrada"
680229,las demas piedras de talla o de construccion
680291,"marmol, travertinos y alabastro, excepto de talla o de construccion,"
680292,"los demas piedras calizas, de talla o de constuccion."
680293,"granito, de talla o de construccion."
680299,"las demas piedras, de talla o de construccion."
680300,pizarra natural trabajada y manufacturas de pizarra natural o aglomera
680410,muelas para moler o desfibrar.
680421,"las demas muelas y art. similares, de diamante natural o sintetico agl"
680422,"las demas muelas y articulos similares, de los demas abrasivos aglomer"
680423,las demas muelas y articulos similares de piedras naturales.
680430,piedras de afilar o de pulir a mano
680510,abrasivos naturales o artificiales con soporte de tejidos de materias
680520,abrasivos naturales con soporte de papel o carton solamente
680530,"abrasivos naturales o artificiales en polvo o en granulos, con soporte"
680610,"lanas de escorias de rocas y lanas minerales similares, incluso mezcla"
680620,"vermiculita dilatada, arcilla dilatada y similares dilatados, incluso"
680690,las demas mezclas y manufacturas de materias minerales para aislamient
680710,"manufacturas de asfalto o de productos similares, en rollos."
680790,"las demas manufacturas de asfalto o de productos similares, excepto en"
680800,"paneles, planchas, baldosas, bloques y articulos similares de fibras v"
680911,"placas, paneles revestidos o reforzados exclusivamente con papel o car"
680919,"las demas placas, paneles y similares, sin adornos, de yeso."
680990,las demas manufacturas de yeso o de preparaciones a base de yeso.
681011,"bloques y ladrillos para la construccion, de cemento, hormigon o piedr"
681019,"tejas, baldosas, losas, de cemento, de hormigon o de piedras artificia"
681091,elementos prefabricados para la construccion o la ingenieria
681099,"las demas manufacturas de cemento, de hormigon o de piedra artificial"
681110,"placas onduladas, de amianto-cemento, celulosa-cemento o similares"
681120,"las demas placas, paneles, baldosas y similares, amianto-cemento y cel"
681130,"tubos, fundas y accesorios de tuberia"
681140,"Manufacturas de amiantocemento, celulosacemento o similares : Que contengan amianto (asbes"
681181,"Manufacturas de amiantocemento, celulosacemento o similares : Que no contengan amianto (as"
681182,"Manufacturas de amiantocemento, celulosacemento o similares : Que no contengan amianto (as"
681183,"Manufacturas de amiantocemento, celulosacemento o similares : : Tubos, fundas y accesorios"
681189,"Manufacturas de amiantocemento, celulosacemento o similares : : Las demás manufacturas"
681190,"las demas manufacturas de amianto-cemento, celulosa-cemento o similare"
681210,amianto trabajado en fibras;mezclas a base de amianto o a base de amia
681220,hilados de amianto.
681230,"cuerdas y cordones, incluso trenzados, de amianto."
681240,"tejidos, incluso de punto, de amianto."
681250,"prendas y complementos de vestir, calzado y sombreria, de amianto."
681260,"papel, carton y fieltro, de amianto."
681270,"hojas de amianto y elastomeros, comprimidos para juntas, incluso prese"
681280,Amianto (asbesto) en fibras trabajado; mezclas a base de amianto o a base de amianto y car
681290,las demas manufacturas de amianto
681291,Amianto (asbesto) en fibras trabajado; mezclas a base de amianto o a base de amianto y car
681292,Amianto (asbesto) en fibras trabajado; mezclas a base de amianto o a base de amianto y car
681293,Amianto (asbesto) en fibras trabajado; mezclas a base de amianto o a base de amianto y car
681299,Amianto (asbesto) en fibras trabajado; mezclas a base de amianto o a base de amianto y car
681310,"guarniciones para frenos, a base de amianto, de otras sustancias miner"
681320,"Guarniciones de fricción (por ejemplo: hojas, rollos, tiras, segmentos, discos, arandelas,"
681381,"Guarniciones de fricción (por ejemplo: hojas, rollos, tiras, segmentos, discos, arandelas,"
681389,"Guarniciones de fricción (por ejemplo: hojas, rollos, tiras, segmentos, discos, arandelas,"
681390,cintas de frenos (incluye: revestimientos de embragues)
681410,"placas, hojas y bandas de mica aglomerada o reconstituida,incluso con"
681490,las demas manufacturas de mica.
681510,manufacturas de grafito o de otros carbonos para usos distinto de los
681520,manufacturas de turba.
681591,"las demas manufacturas que contengan magnesita, dolomita o cromita."
681599,las demas manufacturas de piedra o de otras materias minerales
690100,"ladrillos, losas, baldosas y otras piezas ceramicas de harinas silicea"
690210,"ladrillos, losas y piezas refractarias con un contenido de los element"
690220,ladrillos refractarios con contenido de alumina silice o de una mezcla
690290,"los demas ladrillos, losas y similar, de ceramica, refractarias."
690310,los demas articulos ceramicos refractarios con un contenido de grafito
690320,los demas art.ceramicos refractarios con un contenido de alumina o de
690390,los demas articulos ceramicos refractarios
690410,"ladrillos de construccion, de ceramica"
690490,"bovedillas, cubrevigas y articulos similares, de ceramica."
690510,tejas ceramicas.
690590,los demas ornamentos arquitectonicos y productos ceramicos de construc
690600,"tubos, canalones y accesorios de tuberia, de ceramica."
690710,"baldosas, cubos, dados y articulos similares de cualquier forma en los"
690790,las demas baldosas y losas de ceramicas
690810,"baldosas, cubos, dados y articulos similares de cualquier forma en los"
690890,las demas baldosas y azulejos esmaltados (revestimientos ceramicos)
690911,"aparatos y articulos usos quimico o usos tecnicos, de porcelana."
690912,articulos con una dureza equivalente a 9 o superior en la escala mohs
690919,los demas aparatos y articulos de ceramica para uso quimico u otros us
690990,"abrevaderos, pilas y recipientes similares, usos rural, transport, de"
691010,"fregaderos, lavabos, baneras y similares, de porcelana."
691090,"los demas fregaderos, lavabos, baneras y similares"
691110,articulos para el servicio de mesa o de cocina de porcelana
691190,"los demas articulos de uso domestico, de higiene o de tocador, de porc"
691200,"vajilla y demas articulos de uso doméstico, de higiene o de tocador, d"
691310,estatuillas y demas objetos de adorno de porcelana
691390,"estatuillas y demas objetos de adorno de ceramica, excepto los de porc"
691410,las demas manufacturas de porcelana.
691490,las demas manufacturas de materias ceramicas.
700100,desperdicios y desechos de vidrios; vidrio en masa
700210,"bolas de vidrio, sin trabajar."
700220,"barras o varillas, de vidrio, sin trabajar."
700231,"tubos, de cuarzo o de otras silices fundidos."
700232,"tubos, de otros vidrios coeficiente dilatac. inf 5x10-6 por kelvin, en"
700239,los demas tubos de vidrio.
700312,"placas y hojas sin armar, coloreadas en la masa,opacificadas, chapadas"
700319,"placas y hojas, sin armar, de vidrio colado. las demas."
700320,"placas y hojas, armadas, de vidrio colado."
700330,perfiles de vidrio colado.
700420,"vidrio coloreado en la masa,opacificado,chapado o con capa absorbente"
700490,los demas vidrios
700510,"lunas sin armar con capa absorbente o reflectante, de vidrio flotado,"
700521,"lunas sin armar, de vidrio, coloreadas en masa, opacificada, desbastad"
700529,"las demas lunas sin armar, de vidrio flotado, desbastado o pulido."
700530,"lunas armadas, de vidrio flotado, desbastado o pulido."
700600,"vidrio de las partidas 70.03, 70.04 o 70.05, curvado, biselado, grabad"
700711,vidrio templado de seguridad con dimensiones y formatos que permitan s
700719,"los demas vidrios de seguridad, templados"
700721,vidrios de seguridad laminado de dimiensiones y formatos que permitan
700729,los demas vidrios laminados de seguridad
700800,vidrierias aislantes de paredes multiples.
700910,espejos retrovisores para vehiculos
700991,"espejos de vidrio, sin marco"
700992,"espejos retrovisores con marco, para vehiculos"
701010,ampollas para inyectables
701020,"tapones, tapas y demas dispositivos de cierre"
701090,"Bombonas damajuanas, botellas, frascos, bocales, tarros, envases tubulares y demás recipie"
701091,"los demas tapones, tapas y demas dispositivos de cierre cap. sup. a 11"
701092,"tapones, tapas y demas dispositivos de cierre sup. 0.33 i pero inferio"
701093,"tapones, tapas y demas dispositivos de cierre superior a0.15 l pero"
701094,"tapones, tapas y denas dispositivos de cierre inferior o igual a 0.15l"
701110,"ampolletas y envolturas tubulares de vidrio abiertas, para alumbrado e"
701120,"ampollas y envolturas tubulares, de vidrio, para tubos catodicos."
701190,"las demas ampollas y envolturas tubulares, abiertas y sus partes, de v"
701200,ampollas de vidrio para termos u otros recipientes isotermicos aislado
701310,"objetos de vitroceramica, para el servicio de mesa, cocina, oficina y"
701321,"articulos de cristal al plomo, para beber, excepto de vitroceramica."
701322,"Artículos de vidrio para servicio de mesa, cocina, tocador, baño, oficina, adorno de inter"
701328,"Artículos de vidrio para servicio de mesa, cocina, tocador, baño, oficina, adorno de inter"
701329,"los demas articulos de vidrio para beber (vasos, copas, etc.)"
701331,"objetos para el servicio de mesa, excepto los articulos para beber, de"
701332,"objetos p. servicio mesa o cocina, de vidrio coef. dilatac. inf. 5x10-"
701333,"Artículos de vidrio para servicio de mesa, cocina, tocador, baño, oficina, adorno de inter"
701337,"Artículos de vidrio para servicio de mesa, cocina, tocador, baño, oficina, adorno de inter"
701339,los demas objetos de vidrio para el servicio de mesa
701341,"Artículos de vidrio para servicio de mesa, cocina, tocador, baño, oficina, adorno de inter"
701342,"Artículos de vidrio para servicio de mesa, cocina, tocador, baño, oficina, adorno de inter"
701349,"Artículos de vidrio para servicio de mesa, cocina, tocador, baño, oficina, adorno de inter"
701391,"los demas objetos de cristal al plomo para tocador, oficina o similare"
701399,"los demas objetos de vidrio para el servicio de tocador, oficina o sim"
701400,vidrio para senalizacion y elementos de optica de vidrio (excepto los
701510,cristales para gafas correctoras.
701590,"los demas cristales para relojes y cristales analogos, sin trabajar op"
701610,"cubos, dados y similares de vidrio, incluso con soporte, para mosaicos"
701690,los demas articulos de vidrio prensados o mldeados para la construccio
701710,"articulos de cuarzo o de otras silices fundidos, p. laboratorio, higie"
701720,articulos de los demas vidrios coef. dilat. lineal inf. 5x10-6 por kel
701790,"los demas articulos de vidrio para laboratorio, higiene o farmacia."
701810,"cuentas de vidrio, imitaciones perlas finas, piedras preciosas y simil"
701820,microesferas de vidrio con un diametro inferior o igual a 1 mm.
701890,ojos de vidrio; estatuillas y demas objetos de ornamentacion de vidrio
701911,hilados de vidrio cortados de longitud inferior o igual a 50mm
701912,rovings
701919,"las demas mechas, hilados, tejidos de vidrio"
701931,"mats, de fibra de vidrio."
701932,"velos, de fibra de vidrio."
701939,"los demas velos, napas, colchones, paneles y productos similares sin t"
701940,tejidos de rovings
701951,los demas tejidos de vidrio de anchura inferior o igual a 30 cm.
701952,"los demas tejidos de vidrio de anchura superior a 30 cm, de ligamento"
701959,"los demas velos, napas mats, colchones, paneles y productos simialres"
701990,las demas fibras de vidrio (incluida la lana de vidrio) y manufacturas
702000,las demas manufacturas de vidrio
710110,"perlas finas, incluso trabajadas o clasificadas, sin montar."
710121,"perlas cultivadas, en bruto."
710122,"perlas cultivadas, trabajadas."
710210,"diamantes, incluso trabajados, sin clasificar, sin montar ni engarzar."
710221,"diamantes industriales, en bruto o simplemente aserrados, exfoliados o"
710229,los demas diamantes industriales.
710231,diamantes no industriales en bruto o somplemente aserrados exfoliados
710239,los demas diamantes no industriales.
710310,"piedras preciosas y semipreciosas, en bruto o simplemente aserradas o"
710391,"rubies, zafiros y esmeraldas, trabajadas modo distinto aserrado o desb"
710399,las demas piedras preciosas o semipreciosas trabajadas distinto aserra
710410,cuarzo piezoelectrico.
710420,"las demas piedras sinteticas o reconstituidas, en bruto o simplemente"
710490,las demas piedras sinteticas o reconstituidas
710510,polvo de diamantes.
710590,"polvo de piedras preciosas, semipreciosas o sinteticas, excepto de dia"
710610,plata en polvo
710691,plata en bruto.
710692,plata semilabrada
710700,"chapados de plata sobre metales comunes, en bruto o semilabrados."
710811,oro en polvo para uso no monetario
710812,"oro en bruto, excepto en polvo, para uso no monetario"
710813,"oro semilabrado, para uso no monetario."
710820,oro para uso monetario.
710900,"chapados de oro sobre metales comunes o sobre plata, en bruto o semila"
711011,platino en bruto o en polvo.
711019,platino semilabrado.
711021,paladio en bruto o en polvo.
711029,paladio semilabrado.
711031,rodio en bruto o en polvo.
711039,rodio semilabrado.
711041,"iridio, osmio y rutenio, en bruto o en polvo."
711049,"iridio, osmio y rutenio, semilabrados."
711100,"chapados de platino sobre metales comunes, sobre plata o sobre oro, en"
711210,desperdicios y residuos de oro o de chapados de oro. exclusoin de las
711220,desperdicios y residuos de platino o de chapados de platino. exclusoin
711230,Cenizas que contengan metal precioso o compuestos de metal precioso
