SubPartidas Arancelarias,Descripción del producto
030375,"escualos congelados, excluido filete, higado, huevas y lechas"
030376,"anguilas congeladas, excluidos filetes higados, huevas y lechas"
030377,"robalos congelados, excluidos filetes higados, huevas y lechas"
030378,"merluzas congeladas, excluidos filetes, higados huevas y lechas."
030379,"los demas pescados congelados, excluidos filetes, higados, huevas y le"
030380,"higados, huevas y lechas de pescados, congelados."
030410,filetes y demas carnes de pescado frescos o refrigerados
030411,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : Fr"
030412,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : Fr"
030419,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : Fr"
030420,filetes congelados.
030421,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : Fi"
030422,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : Fi"
030429,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : Fi"
030490,las demas carnes de pescado congelada
030491,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : La"
030492,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : La"
030499,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados : La"
030510,harina de pescado apta para la alimentacion humana.
030520,"higados, huevas y lechas de pescado, secos, ahumados, salados o en sal"
030530,"filetes de pescado, secos, salados o en salmuera, sin ahumar."
030541,"salmones del pacifico, atlantico o danubio, ahumados, incluido filetes"
030542,"arenques ahumados, incluidos filetes."
030549,"los demas pescados ahumados, incluidos filetes."
030551,"bacalaos secos, incluso salado, sin ahumar."
030559,"los demas pescados secos, incluso salado, sin ahumar."
030561,arenques salado sin secar ni ahumar o en salmuera.
030562,"bacalaos salados, sin secar ni ahumar o en salmuera."
030563,anchoas saladas sin secar ni ahumar o en salmuera.
030569,los demas pescados salados sin secar ni ahumar o en salmuera.
030611,langostas congeladas.
030612,bogavantes congelados.
030613,"camarones, langostinos, quisquillas"
030614,"cangrejos de mar, congelados."
030619,los demas crustaceos congelados.
030621,"langostas, sin congelar."
030622,"bogavantes, sin congelar."
030623,"camarones, langostinos, quisquillas y gambas sin congelar."
030624,"cangrejos de mar, sin congelar."
030629,"los demas crustaceos, sin congelar."
030710,"ostras, vivas, frescas, refrigeradas, congeladas, secas, saladas o en"
030721,"veneras, volandeiras y otros, vivos, frescos o refrigerados."
030729,"veneras, volandeiras otros, congelados, secos, salados o en salmuera."
030731,"mejillones, vivos, frescos o refrigerados."
030739,"mejillones, congelados, secos, salados o en salmuera."
030741,"jibias, globitos, calamares y potas, vivos, frescos o refrigerados."
030749,"jibias, globitos, calamares y potas, congelados, secos, salados o en s"
030751,"pulpos, vivos, frescos o refrigerados."
030759,"pulpos, congelados, secos, salados o en salmuera."
030760,"caracoles, excepto los de mar, vivos, frescos, refrig., congel, secos,"
030791,"los demas moluscos e invertebrados vivos, frescos o refrigerados"
030799,"los demas moluscos e invertebrados secos, salados o en salmuera"
040110,"leche y nata, sin concentrar ni edulcorar, con un contenido materia gr"
040120,"leche y nata, sin concentrar ni edulcorar con un cont. sup.1% e inferi"
040130,"leche y nata, sin concentrar ni edulcorar con un cont. materias grasas"
040210,"leche en polvo, granulos u otras formas, materia grasa inferior o igua"
040221,"leche en polvo, sin azucarar ni edulcorar de otro modo."
040229,las demas leches
040291,las demas leches sin azucarar ni edulcorar de otro modo
040299,las demas leches y natas concentradas azucadas o edulcoradas.
040310,"yogur, incluso concentrado, azucarado aromatizado, con fruta o cacao."
040390,"suero mantequilla, leche y nata cuajadas, kefir y demas leches y natas"
040410,"lactosuero, incluso concentrado, azucarado o edulcorado de otro modo."
040490,"los demas productos de componentes naturales de la leche, incluso azuc"
040510,mantequilla
040520,pastas lacteas para untar
040590,"las demas materias grasas de la leche, pastas lacteas para untar."
040610,quesos frescos (incluido el de lactosuero) sin fermentar y requeson.
