index,code,density,rca_arg,rca_bra,rca_deu,rca_chn,pci,cog,description,export,category,id,selection_criteria,environmental_service
41,847420,0.09241156251596902,0.0181416286274409,0.7796568805695892,1.7436377018738003,1.6579746280231027,0.2639028684733918,0.0268967316695176,"Maquinas y aparatos para quebrantar triturar, moler o pulverizar",197668.4,"Aparatos mecánicos y eléctricos, sus partes y accesorios",847420,,Utilizado para el tratamiento o reciclaje de residuos sólidos.
42,847982,0.0838545791230558,0.2935825844821618,0.3338027665544582,3.2121278018872306,0.7482132527767861,1.5566502995561808,0.3428209321540156,"Maquinas y aparatos para mezclar, malaxar, quebrantar, triturar, moler",4371873.6,"Aparatos mecánicos y eléctricos, sus partes y accesorios",847982,VCR|complejidad,"Se utiliza para preparar residuos para su reciclaje; mezcla de aguas residuales durante el tratamiento; preparación de residuos orgánicos para compostaje; (El compostaje puede minimizar la cantidad de desechos que van al vertedero, así como recuperar el valioso contenido de nutrientes y energía de los desechos)."
43,847990,0.0697652336992011,0.0435263996878969,0.0514234755356414,1.206028926257469,0.4566918975157402,2.013471284322055,0.4698917580879532,Partes de maquinas y aparatos mecanicos con una funcion propia.,5191276.8,"Aparatos mecánicos y eléctricos, sus partes y accesorios",847990,,"Máquinas y aparatos diseñados para una amplia gama de áreas de gestión medioambiental que incluyen residuos, aguas residuales, producción de agua potable y remediación de suelos. Los sistemas de compostaje en recipientes pueden manejar grandes cantidades de desechos y acelerar la descomposición. Los compactadores de basura reducen el volumen de residuos sólidos, lo que permite un transporte y una eliminación más eficientes. "
44,850164,0.0968946633222971,0.0303199325505897,1.6128605697510607,1.80225017033856,0.9189499875816176,0.6696934176733831,0.1083094856952455,"Generador corriente alterna, potencia superior a 750 kva.",359664.8,"Aparatos mecánicos y eléctricos, sus partes y accesorios",850164,,Plantas de energías renovables
45,850300,0.08997050689359698,0.049975522114727,0.7827980346876875,1.1470140059293659,1.6320455114661938,0.5464491450155301,0.0187774810806999,Partes identificables como destinadas exclusivamente a las maquinas de,2924019.2,"Aparatos mecánicos y eléctricos, sus partes y accesorios",850300,,Plantas de energías renovables
46,850490,0.082966220112606,0.0364301866843766,0.0859663304887221,1.2885428285232063,1.7679437904332478,0.3213831346180078,-0.0366571787263286,"Partes de transformadores electricos, convertidores estaticos, bobinas",1155903.0,"Aparatos mecánicos y eléctricos, sus partes y accesorios",850490,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
47,851410,0.0665589628195275,0.1415790961855678,0.0958927693370163,2.4777592633469814,0.8958289248084089,1.871626927285432,0.4261744630835071,"Hornos de resistencia (de caldeo indirecto), eléctrico, industrial o d",796755.6,"Aparatos mecánicos y eléctricos, sus partes y accesorios",851410,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas. Gestión y reciclado de residuos"
48,851420,0.0795308429453669,0.0064156898991985,0.2632969265464848,2.417974068411805,0.8009328267355118,1.1890654532313336,0.3021240375579671,"Hornos que trabajen por induccion o por pérdidas dieléctricas, industr",12231.2,"Aparatos mecánicos y eléctricos, sus partes y accesorios",851420,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas. Gestión y reciclado de residuos"
49,851430,0.0750861029007591,0.0337549939664267,0.2875747689967857,1.5004702325752848,1.4022095902218803,1.2534815078004446,0.3048588896512514,Hornos electricos industriales o de laboratorio.,88747.0,"Aparatos mecánicos y eléctricos, sus partes y accesorios",851430,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas. Gestión y reciclado de residuos"
50,851490,0.0826962517897254,0.0425013295987242,0.1971399816931737,1.5356352644139668,0.8267822344556747,0.8381487265710779,0.3275986803825166,Partes de hornos electricos industriales o de laboratorio y demas apar,213032.8,"Aparatos mecánicos y eléctricos, sus partes y accesorios",851490,,Utilizado para el tratamiento o reciclaje de residuos sólidos
51,854390,0.0621945396387923,0.0056305880238694,0.0638122299016169,0.5947480805286749,1.4055832636519263,0.7663019275832782,0.1551412714025112,Partes de maquinas y aparatos electricos con funcion propia no expresa,189883.6,"Aparatos mecánicos y eléctricos, sus partes y accesorios",854390,,Manejo de aguas residuales y potabilización del agua
52,901580,0.1020983445383615,0.0652199271075214,0.1323551497020112,0.7481644334293424,0.5192398963693535,-0.6466237013764831,0.0162757822156931,"Instrumentos y aparatos de geodesia, topografia, agrimensura",948910.0,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",901580,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía. Equipos de seguimiento, análisis y evaluación del medioambiente, Gestión de riesgos naturales"
53,902610,0.08455551079281401,0.0536874544924276,0.315268328519741,2.3566927057191243,0.4824544946710782,1.3400624520868416,0.33560952158350604,Instrumentos y aparatos para la medida o control del caudal o del nive,984809.4,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902610,,"Equipos de seguimiento, análisis y evaluación del medioambiente. Manejo de aguas residuales. Control de la contaminación del aire"
54,902620,0.0823736969493745,0.0333773589493361,0.2264971706627936,2.650112303917049,0.6437487833772376,1.6777281838062588,0.4080147028028902,Instrumentos y aparatos para la medida o control de la presion,1030664.8,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902620,,"Equipos de seguimiento, análisis y evaluación del medioambiente. Manejo de aguas residuales"
55,902680,0.0866124462224253,0.0373418138312437,0.059026958968633,2.7350651615796444,0.2909114628709889,1.2994875886002641,0.2780024938560894,"Instrumentos y aparatos para la medida o control caudal, niv",449242.6,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902680,proximidad|complejidad,Estos instrumentos incluyen medidores de calor que se utilizan para monitorear y medir la distribución de calor de los sistemas de calefacción de distrito geotérmicos o de biomasa..
56,902690,0.0813045153139313,0.0382309644260283,0.1247368804778107,1.5894180183899334,0.7806713322417419,1.3264362184167022,0.3394456456899204,"Instrumentos y aparatos para la medida del caudal, nivel, presion, de",538298.4,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902690,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas. Equipos de seguimiento, análisis y evaluación del medioambiente"
57,902710,0.0762109465689387,0.0238769316799957,0.3062328717823347,3.7901898085598638,0.2044439411150345,1.817227991425168,0.4599262279232523,Analizadores de gases o de humos.,462983.8,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902710,,"Equipos de seguimiento, análisis y evaluación del medioambiente"
58,902720,0.0710445424450123,0.0140275240847663,0.032372024240635,1.2786357796190897,0.6546903293551731,1.6956546502562568,0.4874123493098078,Cromatografos y aparatos de electroforesis.,106725.6,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902720,,"Equipos de seguimiento, análisis y evaluación del medioambiente"
59,902750,0.0764141710185112,0.0688955122648636,0.0169005534379312,2.3638181976411032,0.2799144534241167,1.88240414757392,0.42570690261759103,"Instrumentos y aparatos que utilicen radiaciones opticas uv,",1828828.4,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902750,,"Equipos de seguimiento, análisis y evaluación del medioambiente"
60,902780,0.0730842959832296,0.0535351371733168,0.037080496118263,2.0752607436454777,0.4512356963569579,2.1042981401328182,0.4548091986397632,"Instrumentos y aparatos para ensayo de viscosidad, porosidad",2090315.4,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902780,,"Equipos de seguimiento, análisis y evaluación del medioambiente"
61,902790,0.074537954334689,0.0323311199999307,0.1038093435511328,1.9080304336074605,0.4197378559637555,2.152726835560107,0.49547471652492897,Microtomos; partes y accesorios,1160720.6,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",902790,,Estos instrumentos incluyen microtomos que son dispositivos que preparan cortes de muestras para su análisis.
62,903180,0.0741106464667275,0.0994685931174487,0.1265636061365486,2.5580446953593534,0.7443796098232396,1.3576587887834788,0.3159211138544709,"Instrumentos, aparatos y maquinas",7330645.4,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",903180,,"Equipos de seguimiento, análisis y evaluación del medioambiente."
63,903190,0.0733198917939462,0.0526858267648158,0.0660828373889932,1.9843351541594063,0.6017604865457558,1.652567918999723,0.3553117645506838,"Partes y accesorios de instrumentos, aparatos y maquinas de medida o c",1302016.8,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",903190,,"Equipos de seguimiento, análisis y evaluación del medioambiente."
64,903289,0.0797293476768942,0.1293137886224778,0.5467045762547861,1.4952422563692769,0.7241876899429835,1.3518234636054178,0.3041444008277045,Instrumentos y aparatos automaticos p. la regulacion y el co,9558820.8,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",903289,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas. Equipos de seguimiento, análisis y evaluación del medioambiente. Plantas de energías renovables"
65,903290,0.0864275250994881,0.0413217961693099,0.1038642407105244,1.111489986831028,0.78103477755327,0.7278379829319586,0.1549056619480626,Partes y accesorios de instrumentos y aparatos,757761.2,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",903290,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas. Equipos de seguimiento, análisis y evaluación del medioambiente"
66,903300,0.0904202498042829,0.0255938965389992,0.0685864940439288,1.21963522084795,0.7429462977169868,0.862152128487673,0.0973094534744298,"Partes y accesorios, no expresados ni comprendidos en otra parte de es",251672.2,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",903300,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas. Equipos de seguimiento, análisis y evaluación del medioambiente"
67,441830,0.0987572260817802,0.0064573281355317,0.5674940597644519,1.125743043559362,1.057396977832329,0.2787215129402041,-0.009934662716749,"Tableros para parques, de madera.",33487.4,"Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados",441830,,"Los productos renovables a base de bambú son sustituciones de las necesidades de madera. Dado que el bambú se caracteriza por un ciclo de cultivo corto, estos productos respetuosos con el medio ambiente pueden ahorrar una gran cantidad de recursos de agua, suelo y aire."
68,901380,0.0349499954891668,0.0004841733784716,0.0032073375794376,0.0578969068374808,3.386723303313858,0.9023819801641044,0.1903176765544323,"Dispositivos, aparatos e instrumentos de optica.",91238.8,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",901380,,Los heliostatos orientan los espejos en los sistemas de energía solar concentrada para reflejar la luz solar en un receptor
69,901390,0.0595407270521867,0.0016555721323652,0.0028030661102902,0.774363759796777,1.934393880046116,0.4326819939278532,0.2009100800249138,"Partes y accesorios de dispositivos, aparatos e instrumentos",39568.2,"Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios",901390,,Los heliostatos orientan los espejos en los sistemas de energía solar concentrada para reflejar la luz solar en un receptor
70,732510,0.095573505139506,0.0431588852063126,0.204750933256288,2.009022918222156,1.3232715193342781,0.3599922322171536,-0.0269065565356677,"Piezas de fundicion en acero, no maleable",394292.4,Metales comunes y sus manufacturas,732510,,Estos elementos facilitan la entrega de agua potable y saneamiento
71,840991,0.0855149762828786,0.4317969818511138,0.91314606019136,2.1569601378919034,0.6146809823572632,1.1572451436141689,0.2322347933110888,Partes identificables a los motores de embolo de encendido por chispa,47877099.6,"Aparatos mecánicos y eléctricos, sus partes y accesorios",840991,,Los silenciadores industriales se utilizan para reducir el ruido de motores
72,841013,0.1013691916428965,2.0895631582980885,12.873854062332065,1.7656737396998452,1.2284120715022873,0.9444349469527136,0.23617777742637103,Turbinas y ruedas hidraulicas potencia superior a 10000 kw.,1786577.8,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841013,,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
73,841320,0.0786788622442036,0.177343706200387,0.0851030716546038,1.154180151897871,2.8227108718961698,0.1019427500502628,0.1789480218024575,"Bombas manuales, excepto las de las subpartidas 8413.11 u 8413.19.",455947.8,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841320,,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
74,841350,0.0811901820081787,0.3362836737807653,0.1177402090048341,2.7283892764743305,0.5825736557284731,1.0543306457179349,0.3446924074523259,Bombas volumetricas alternativas.,8812390.6,"Aparatos mecánicos y eléctricos, sus partes y accesorios",841350,VCR|complejidad,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento.
