index,index_pais,pais,Country_code,ECI,ECI_rank,GCI,GCI_rank,GCP,GCP_rank,COI,COI_rank,exports,exports_rank
54,2,Emiratos Árabes Unidos,ARE,0.01926859809911077,59,-0.40670478821957895,55,-0.53709218936632,78,0.020585441621726586,63,255047500693.40002,17
55,47,Irlanda,IRL,1.2821813641074309,17,-0.41783034342964653,56,-0.371785955890754,66,0.7859677518807718,10,148721347579.00003,30
56,83,Nueva Zelanda,NZL,0.4547999933238152,40,-0.4423184392307864,57,-0.10280456884743414,53,0.24897535440407587,49,36716845888.99999,55
57,55,Kenia,KEN,-0.6597873449895797,81,-0.4457064930040349,58,-0.17492521216737034,59,-0.2629278618990594,90,5345231342.0,96
58,77,Malawi,MWI,-0.5161586330934428,76,-0.4557697769746741,59,-0.7694415143493482,87,0.046541650676231006,60,972347635.2,121
59,68,Moldavia,MDA,-0.40080544110188543,73,-0.47190621813698014,60,-0.14691130099621685,58,-0.5755277138115028,103,2692511553.8,107
60,111,Uganda,UGA,-0.5563755538250869,78,-0.4731180765205649,61,-0.35997336182060674,65,-0.15478802608268877,82,2602461052.0,109
61,40,Guatemala,GTM,-0.5762514971170746,79,-0.4748437417709685,62,-0.06306158379475708,52,-0.37858075368206984,97,10601108109.2,78
62,71,Macedonia,MKD,-0.3129226691139523,67,-0.4926902684145784,63,-0.2923940095208064,61,-0.6657174350545046,108,5931605048.6,93
63,21,Costa Rica,CRI,0.12548029591430201,51,-0.4944546478800143,64,-0.4486726469246887,69,0.010295868268503596,65,15575005280.599998,69
64,25,República Dominicana,DOM,-0.3984447649211073,72,-0.49686238700611685,65,-0.269407987256733,60,-0.5254404577901101,102,9221644410.0,81
65,56,Kirguistán,KGZ,-0.3424158844947189,68,-0.5032046751207166,66,-0.32264871158835196,63,-0.32684513816156335,94,1369713773.0,118
66,1,Albania,ALB,-0.7754655467071173,88,-0.5195606752039557,67,-0.34715558801677854,64,-0.7755221827143544,113,2394034498.2,113
67,100,El Salvador,SLV,-0.39465848872524206,71,-0.5271695283983523,68,-0.12670226238003518,55,-0.5074707388658983,101,5650119181.2,94
68,110,Tanzania,TZA,-0.6875636915775247,84,-0.5378385802274752,69,-0.29525850152032906,62,-0.023069200275503736,69,4933468799.8,99
69,31,Etiopía,ETH,-1.111159061938565,107,-0.5406193404371343,70,-0.5803608316555601,82,-0.6223501245113542,105,2748689912.8,106
70,67,Marruecos,MAR,-0.7763719451199372,89,-0.5645682823085332,71,-0.13662644968837317,56,-0.3577235329433528,96,26182612985.4,63
71,48,Irán,IRN,-0.16590721721153706,64,-0.5744702661321417,72,-0.5477052706042731,79,-0.09367367908096985,77,65051130544.8,42
72,3,Argentina,ARG,0.19728803615519833,49,-0.5933559373084164,73,-0.40325843724925503,68,0.31095695943942336,42,59937250401.799995,45
73,76,Mauricio,MUS,-0.5833799270206842,80,-0.6008400648947836,74,-0.10492524621014042,54,-0.4435660482980208,100,2306419624.2,114
74,84,Omán,OMN,-0.4760017817610537,75,-0.6042949732511737,75,-0.9257022963944093,99,0.03382873229022538,62,56986179204.200005,47
75,54,Kazajstán,KAZ,0.03897946942558701,58,-0.6121184013922207,76,-0.7817238182293519,90,0.3589419973728457,40,41744858795.6,51
76,85,Pakistán,PAK,-0.841618114948221,94,-0.632050530522217,77,0.26452421107625923,44,0.798274892608372,9,22574399352.600002,65
